"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp"
"a0D7F000000ngFUUAY","0057F0000010W7hQAE","0","System Admin","2017-12-05 04:07:44","0057F0000010W7hQAE","2017-12-05 04:07:44","0057F0000010W7hQAE","2017-12-06 18:51:29"
"a0D7F000000ngFVUAY","0057F0000010W7hQAE","0","Staff","2017-12-05 04:08:00","0057F0000010W7hQAE","2017-12-05 04:08:00","0057F0000010W7hQAE","2017-12-06 18:51:29"
"a0D7F000000ngFZUAY","0057F0000010W7hQAE","0","Manager","2017-12-05 04:07:52","0057F0000010W7hQAE","2017-12-05 04:07:52","0057F0000010W7hQAE","2017-12-06 18:51:29"
