"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Order__c","Expanded__c"
"a087F000000mUSrQAM","0057F0000010W7hQAE","0","Technical Skill","2017-12-01 06:28:02","0057F0000010W7hQAE","2017-12-08 10:36:45","0057F0000010W86QAE","2017-12-09 18:50:35","1",""
"a087F000000mUSsQAM","0057F0000010W7hQAE","0","Human Skill","2017-12-01 06:28:19","0057F0000010W7hQAE","2017-12-01 10:27:20","0057F0000010W7hQAE","2017-12-09 18:50:35","2",""
"a087F000000mUSwQAM","0057F0000010W7hQAE","0","Conceptual Skill","2017-12-01 06:28:31","0057F0000010W7hQAE","2017-12-01 10:27:26","0057F0000010W7hQAE","2017-12-09 18:50:35","3",""
