"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Icon__c","Order__c","Skill_Num__c"
"a097F000007GTzCQAW","0057F0000010W7hQAE","0","Excellent","2017-12-01 06:29:49","0057F0000010W7hQAE","2017-12-05 08:15:47","0057F0000010W86QAE","2017-12-08 18:52:29","action:new_opportunity","1","4"
"a097F000007GTzDQAW","0057F0000010W7hQAE","0","Expected","2017-12-01 06:30:02","0057F0000010W7hQAE","2017-12-05 08:15:36","0057F0000010W86QAE","2017-12-06 18:51:29","action:goal","3","2"
"a097F000007GTzHQAW","0057F0000010W7hQAE","0","Good","2017-12-01 06:29:58","0057F0000010W7hQAE","2017-12-05 08:15:42","0057F0000010W86QAE","2017-12-06 18:51:29","action:new_lead","2","3"
"a097F000007GTzIQAW","0057F0000010W7hQAE","0","Motivated","2017-12-01 06:30:08","0057F0000010W7hQAE","2017-12-05 08:15:16","0057F0000010W86QAE","2017-12-06 18:51:29","action:update","4","1"
